KUNTA;SEURA;KARTTA;WEB;KOORD;LAT;LON;HINTA;AIKA
Espoo;Helsingin Suunnistajat;Pirttimãki;http://helsinginsuunnistajat.fi/palvelut/suunnistuksen-jatkokurssi/;WGS84;60.26971195;24.6509741;8?/kpl.;1.5. ? 30.9.2016
Espoo;Helsingin Suunnistajat;Solvalla;http://helsinginsuunnistajat.fi/palvelut/suunnistuksen-jatkokurssi/;WGS84;60.294115;24.55789417;8?/kpl.;1.5. ? 30.9.2016
